This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201703 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.46,   -0.82,    0.72,   -1.16,    0.27
196308,    5.07,   -0.81,    1.63,    0.42,   -0.40,    0.25
196309,   -1.57,   -0.48,    0.19,   -0.80,    0.23,    0.27
196310,    2.53,   -1.29,   -0.11,    2.75,   -2.26,    0.29
196311,   -0.85,   -0.84,    1.66,   -0.34,    2.22,    0.27
196312,    1.83,   -1.87,   -0.11,    0.18,   -0.31,    0.29
196401,    2.24,    0.09,    1.64,    0.21,    1.51,    0.30
196402,    1.54,    0.30,    2.83,    0.04,    0.87,    0.26
196403,    1.41,    1.43,    3.36,   -2.01,    2.94,    0.31
196404,    0.10,   -1.52,   -0.42,   -1.39,   -1.09,    0.29
196405,    1.42,   -0.67,    1.88,   -0.28,    0.24,    0.26
196406,    1.27,    0.07,    0.72,   -0.36,    0.13,    0.30
196407,    1.74,    0.47,    0.70,    0.02,    1.91,    0.30
196408,   -1.44,    0.30,    0.12,   -0.09,    0.35,    0.28
196409,    2.69,   -0.31,    1.65,   -0.36,    0.59,    0.28
196410,    0.59,    0.91,    1.14,   -0.18,    0.45,    0.29
196411,    0.00,   -0.28,   -1.96,    0.62,   -0.17,    0.29
196412,    0.03,   -0.56,   -2.58,    1.27,   -1.64,    0.31
196501,    3.54,    2.48,    0.20,    0.75,    0.15,    0.28
196502,    0.44,    3.30,    0.19,    0.26,   -0.67,    0.30
196503,   -1.34,    2.01,    1.07,   -0.33,    0.75,    0.36
196504,    3.11,    1.19,    0.70,    0.34,   -2.30,    0.31
196505,   -0.77,    0.04,   -1.62,   -0.47,    0.73,    0.31
196506,   -5.51,   -4.31,    0.58,    0.13,    0.44,    0.35
196507,    1.43,    1.05,    2.21,   -1.43,    0.00,    0.31
196508,    2.73,    2.74,   -1.07,    1.90,   -0.72,    0.33
196509,    2.86,    0.62,   -0.11,   -1.07,    0.84,    0.31
196510,    2.60,    3.41,    1.60,    1.24,   -0.73,    0.31
196511,   -0.03,    5.21,    0.23,   -1.08,   -0.89,    0.35
196512,    1.01,    2.67,    2.08,   -1.13,   -0.50,    0.33
196601,    0.72,    4.67,    3.57,   -2.90,   -0.06,    0.38
196602,   -1.21,    4.79,    0.36,    0.10,   -1.45,    0.35
196603,   -2.51,    0.24,   -2.05,    1.27,   -0.04,    0.38
196604,    2.14,    3.36,   -0.44,    0.40,   -0.92,    0.34
196605,   -5.66,   -5.15,   -1.65,    1.76,   -1.50,    0.41
196606,   -1.44,    1.37,    0.49,   -0.04,    0.77,    0.38
196607,   -1.63,   -0.40,    0.82,   -0.50,    1.72,    0.35
196608,   -7.91,   -3.06,    0.56,    0.27,    0.88,    0.41
196609,   -1.06,   -1.14,    0.50,   -1.17,    2.47,    0.40
196610,    3.86,   -6.47,    2.81,   -3.54,    4.26,    0.45
196611,    1.40,    3.46,   -4.60,    4.17,   -6.63,    0.40
196612,    0.13,    1.95,   -1.29,    0.86,   -0.22,    0.40
196701,    8.15,    9.09,    2.03,    0.57,   -3.16,    0.43
196702,    0.78,    3.08,   -2.26,    2.15,   -0.98,    0.36
196703,    3.99,    1.99,    0.19,    0.63,   -1.59,    0.39
196704,    3.89,    0.42,   -2.54,    2.57,   -3.70,    0.32
196705,   -4.33,    2.34,    0.89,   -1.85,    1.64,    0.33
196706,    2.41,    6.48,    0.94,   -0.64,   -2.40,    0.27
196707,    4.58,    3.24,    2.65,   -1.58,    2.72,    0.31
196708,   -0.89,    0.76,    1.47,    0.51,    1.39,    0.31
196709,    3.11,    2.40,   -2.47,   -0.02,   -0.96,    0.32
196710,   -3.09,    0.48,   -3.39,    0.90,   -2.59,    0.39
196711,    0.37,   -0.01,   -1.71,    1.29,   -2.29,    0.36
196712,    3.05,    5.71,   -0.39,   -1.03,    0.10,    0.33
196801,   -4.06,    4.53,    4.76,   -3.88,    6.44,    0.40
196802,   -3.75,   -2.91,    1.17,   -0.11,    2.49,    0.39
196803,    0.20,   -1.54,   -0.59,    1.04,   -1.17,    0.38
196804,    9.05,    6.19,   -1.03,    2.05,   -3.68,    0.43
196805,    2.28,    6.93,    0.84,   -0.22,   -1.81,    0.45
196806,    0.69,   -0.26,    0.67,   -1.00,    2.75,    0.43
196807,   -2.72,   -1.37,    5.48,   -3.15,    3.59,    0.48
196808,    1.34,    2.30,    1.01,   -0.56,    0.43,    0.42
196809,    4.03,    2.78,    0.24,   -2.20,    0.87,    0.43
196810,    0.42,   -0.45,    2.90,   -1.37,    2.74,    0.44
196811,    5.43,    2.43,   -0.90,    0.51,   -2.50,    0.42
196812,   -3.94,    3.60,    0.02,   -1.76,    1.64,    0.43
196901,   -1.25,   -0.48,    1.69,   -1.52,    1.38,    0.53
196902,   -5.84,   -4.11,    0.92,    2.10,    0.80,    0.46
